ell,residuals,osc_fit
1777,9.001205439304853e-17,2.3605976384023916e-13
1778,9.225889343796927e-17,2.439181035541714e-13
1779,9.419612155119374e-17,2.511694857514576e-13
1780,9.582715952862831e-17,2.57795741278411e-13
1781,9.715616341494423e-17,2.637802673065278e-13
1782,9.818799278748467e-17,2.6910806893274143e-13
1783,9.892817798115323e-17,2.7376579675083865e-13
1784,9.938288637422008e-17,2.7774178029989825e-13
1785,9.955888785422082e-17,2.810260573059444e-13
1786,9.946351958217471e-17,2.83610398643541e-13
1787,9.910465017206114e-17,2.8548832895479683e-13
1788,9.849064340090836e-17,2.866551428740987e-13
1789,9.763032156296687e-17,2.8710791681793574e-13
1790,9.653292857932964e-17,2.868455163102664e-13
1791,9.520809297195827e-17,2.8586859882507584e-13
1792,9.366579080847096e-17,2.841796121390009e-13
1793,9.191630872117444e-17,2.817827881981506e-13
1794,8.997020710075642e-17,2.786841325144889e-13
1795,8.783828356182904e-17,2.748914091183492e-13
1796,8.553153677399844e-17,2.7041412110478303e-13
1797,8.30611307486077e-17,2.652634868224866e-13
1798,8.043835966745695e-17,2.5945241176496617e-13
1799,7.767461333595422e-17,2.529954562343729e-13
1800,7.478134333907679e-17,2.4590879885902786e-13
1801,7.17700299744251e-17,2.3821019605604905e-13
1802,6.86521500323887e-17,2.299189375406516e-13
1803,6.543914548913466e-17,2.2105579799359607e-13
1804,6.214239317378721e-17,2.1164298500788993e-13
1805,5.877317546667689e-17,2.0170408344516198e-13
1806,5.534265208110909e-17,1.9126399634115048e-13
1807,5.186183297664641e-17,1.8034888250832954e-13
1808,4.834155244730767e-17,1.6898609099207297e-13
1809,4.479244442368824e-17,1.5720409254454253e-13
1810,4.1224919023462186e-17,1.450324082880162e-13
1811,3.764914038028409e-17,1.3250153574639583e-13
1812,3.4075005776744855e-17,1.1964287243023098e-13
1813,3.051212610258713e-17,1.0648863716672464e-13
1814,2.6969807655162785e-17,9.307178937183805e-14
1815,2.3457035294844187e-17,7.942594646676688e-14
1816,1.9982456963977626e-17,6.558529964571139e-14
1817,1.655436957390531e-17,5.158452820599362e-14
1818,1.3180706260607438e-17,3.7458712655177574e-14
1819,9.869025005742589e-18,2.3243246812911816e-14
1820,6.626498616033186e-18,8.973749127733412e-15
1821,3.4599060504419342e-18,-5.314026568960939e-15
1822,3.7562508104699463e-19,-1.95842806481609e-14
